player,total_points,games_played,unique_usage
Altimira,5,1,1
Antony,15,2,1
Assignon,11,1,1
Bakambu,8,1,1
Billing,24,2,1
Camara,13,1,1
Cerv,17,1,1
Clinton Mata,13,1,1
Dallinga,14,1,1
Dweh,31,2,1
Dybala,7,1,1
Emi Buendía,17,1,1
Fofana,14,1,1
Fornals,16,1,1
Franculino,21,1,1
Führich,13,1,1
Gibbs-White,4,1,1
Ginter,12,1,1
Greif,18,1,1
Hitz,11,1,1
Hornicek,9,1,1
Hudson-Odoi,37,2,1
Ian Maatsen,41,3,1
Igamane,3,1,1
Igor Jesus,3,1,1
Jonjoe Kenny,6,1,1
Kiteishvili,10,1,1
Kotsiras,12,1,1
Krunic,10,1,1
Lainer,1,1,1
Lo Celso,30,2,1
Malen,31,2,1
Matanovic,23,1,1
Mbabu,21,1,1
Miculescu,3,1,1
Miranda,15,1,1
Mishpati,5,1,1
Mittelstädt,29,2,1
Moreira,14,1,1
Moriba,37,2,1
N. Williams,28,2,1
Omorodion,19,2,1
Orsolini,14,1,1
R. Horta,19,1,1
Raemaekers,3,1,1
Riquelme,9,1,1
Ruibal,10,1,1
Sancho,9,1,1
Shaqiri,41,1,1
Skriniar,8,2,1
Soulé,14,1,1
Stiller,9,1,1
Sulc,10,1,1
Suzuki,5,2,1
Tagliafico,9,1,1
Taison,5,1,1
Talisca,15,1,1
Tetê,13,1,1
Tolisso,20,1,1
Tsimikas,0,1,1
Târnovanu,-6,1,1
Undav,26,2,1
Valles,0,1,1
Varga,21,1,1
Veiga,54,2,1
Verdonk,12,1,1
Watkins,11,2,1
Zivkovic,25,2,1
Ólafsson,41,2,1
